epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,710.824,1.51891,1.21873,1.5267,0.66521,0.53255,0.58841,0.28297,1.50707,1.23482,1.45687,0.0091486,0.0091486,0.0091486
131,715.925,1.52035,1.20419,1.52604,0.67414,0.54121,0.60431,0.28734,1.49547,1.21323,1.45673,0.009142,0.009142,0.009142
132,721.069,1.52673,1.22211,1.52775,0.65844,0.53379,0.59222,0.27901,1.53011,1.22846,1.47594,0.0091354,0.0091354,0.0091354
133,726.332,1.54265,1.23427,1.53982,0.64327,0.50501,0.55796,0.26259,1.55337,1.26292,1.48835,0.0091288,0.0091288,0.0091288
134,731.646,1.4607,1.15082,1.49995,0.65937,0.53234,0.59258,0.28315,1.50254,1.2177,1.45757,0.0091222,0.0091222,0.0091222
135,736.9,1.4959,1.19038,1.5067,0.65019,0.52523,0.56993,0.27429,1.51399,1.26569,1.46985,0.0091156,0.0091156,0.0091156
136,742.282,1.49034,1.19191,1.51653,0.67852,0.51422,0.58001,0.27608,1.53543,1.26503,1.48132,0.009109,0.009109,0.009109
137,747.553,1.50655,1.20352,1.52819,0.64384,0.53252,0.58351,0.2786,1.50714,1.2064,1.46169,0.0091024,0.0091024,0.0091024
138,752.754,1.49378,1.17959,1.49705,0.65745,0.54817,0.60017,0.28668,1.49796,1.22766,1.45154,0.0090958,0.0090958,0.0090958
139,758.15,1.51393,1.19304,1.51541,0.64897,0.52965,0.58494,0.27807,1.51894,1.21594,1.46177,0.0090892,0.0090892,0.0090892
140,763.434,1.49355,1.17261,1.49911,0.66799,0.53087,0.5855,0.28042,1.50325,1.21753,1.45668,0.0090826,0.0090826,0.0090826
141,768.746,1.50727,1.19313,1.51031,0.6735,0.52137,0.59377,0.27934,1.52435,1.22257,1.46118,0.009076,0.009076,0.009076
142,773.953,1.48477,1.17884,1.51063,0.66339,0.53146,0.59855,0.27762,1.53319,1.26435,1.47006,0.0090694,0.0090694,0.0090694
143,779.362,1.53557,1.21143,1.5284,0.69838,0.52629,0.60518,0.28447,1.50809,1.22177,1.45906,0.0090628,0.0090628,0.0090628
144,784.709,1.51551,1.18243,1.5026,0.59375,0.53606,0.57432,0.26959,1.51585,1.31593,1.46504,0.0090562,0.0090562,0.0090562
145,790.072,1.52769,1.1906,1.51053,0.66789,0.51059,0.57205,0.27236,1.5321,1.24731,1.4773,0.0090496,0.0090496,0.0090496
146,795.218,1.4958,1.16427,1.50295,0.64438,0.52389,0.57185,0.27684,1.51278,1.24296,1.46851,0.009043,0.009043,0.009043
147,800.592,1.54685,1.23041,1.54206,0.64932,0.53412,0.57564,0.27988,1.50659,1.22232,1.46093,0.0090364,0.0090364,0.0090364
148,805.898,1.48618,1.15815,1.48377,0.69557,0.54548,0.61208,0.29421,1.47693,1.192,1.44264,0.0090298,0.0090298,0.0090298
149,811.279,1.48931,1.18753,1.52826,0.64574,0.53839,0.59166,0.28168,1.5083,1.23506,1.45712,0.0090232,0.0090232,0.0090232
150,816.743,1.46389,1.15627,1.5034,0.64959,0.53607,0.59058,0.27959,1.51156,1.2287,1.4545,0.0090166,0.0090166,0.0090166
151,822.075,1.51228,1.18138,1.50633,0.68636,0.54333,0.60801,0.28995,1.50528,1.18774,1.45637,0.00901,0.00901,0.00901
152,827.315,1.51055,1.17541,1.49884,0.67138,0.52887,0.60713,0.28998,1.48772,1.20125,1.44777,0.0090034,0.0090034,0.0090034
153,832.587,1.51605,1.1966,1.52353,0.662,0.52824,0.57934,0.27652,1.51794,1.20846,1.4615,0.0089968,0.0089968,0.0089968
154,837.888,1.46536,1.1495,1.48392,0.68097,0.55175,0.60837,0.29402,1.48698,1.17029,1.4444,0.0089902,0.0089902,0.0089902
155,843.153,1.51919,1.19549,1.52529,0.66276,0.55093,0.60735,0.29177,1.49412,1.21652,1.44524,0.0089836,0.0089836,0.0089836
156,848.521,1.49686,1.17815,1.52573,0.6888,0.53931,0.60594,0.29366,1.48548,1.2069,1.44224,0.008977,0.008977,0.008977
157,854.02,1.47796,1.17246,1.50374,0.68649,0.54087,0.60903,0.29103,1.49376,1.20544,1.4456,0.0089704,0.0089704,0.0089704
158,859.229,1.50602,1.19485,1.52829,0.6614,0.54877,0.603,0.28795,1.49375,1.19398,1.44662,0.0089638,0.0089638,0.0089638
159,864.431,1.48413,1.16574,1.5048,0.68952,0.54842,0.61507,0.29271,1.48991,1.2042,1.44452,0.0089572,0.0089572,0.0089572
160,869.725,1.46286,1.14203,1.48603,0.67481,0.54347,0.61156,0.28888,1.51034,1.20891,1.45139,0.0089506,0.0089506,0.0089506
161,875.002,1.45625,1.13022,1.48211,0.66493,0.5328,0.5968,0.28433,1.52406,1.2117,1.4683,0.008944,0.008944,0.008944
162,880.286,1.49167,1.18498,1.52858,0.67895,0.5252,0.59835,0.28699,1.50177,1.21488,1.44945,0.0089374,0.0089374,0.0089374
163,885.697,1.50431,1.17382,1.51049,0.71035,0.53759,0.61268,0.29476,1.47359,1.1882,1.42609,0.0089308,0.0089308,0.0089308
164,891.133,1.49184,1.15748,1.49974,0.70498,0.52758,0.61316,0.29334,1.49182,1.1982,1.44414,0.0089242,0.0089242,0.0089242
165,896.33,1.47466,1.15881,1.49889,0.70314,0.54613,0.61727,0.29864,1.46823,1.17772,1.43309,0.0089176,0.0089176,0.0089176
166,901.651,1.47871,1.17476,1.50682,0.67109,0.54348,0.60727,0.29511,1.47541,1.16842,1.43967,0.008911,0.008911,0.008911
167,906.857,1.50177,1.18586,1.51469,0.67888,0.54289,0.60086,0.29599,1.49529,1.20866,1.4469,0.0089044,0.0089044,0.0089044
168,912.097,1.49695,1.17257,1.4952,0.68816,0.53683,0.6094,0.29168,1.49668,1.22155,1.44327,0.0088978,0.0088978,0.0088978
169,917.364,1.48969,1.14292,1.48137,0.63808,0.53978,0.58328,0.27882,1.51361,1.23377,1.45996,0.0088912,0.0088912,0.0088912
170,922.765,1.45109,1.13246,1.484,0.66471,0.53119,0.58716,0.28683,1.47726,1.20383,1.43586,0.0088846,0.0088846,0.0088846
171,928.38,1.49448,1.14831,1.48576,0.66865,0.54743,0.60521,0.29565,1.46589,1.20228,1.42955,0.008878,0.008878,0.008878
172,933.804,1.47836,1.15265,1.48785,0.66982,0.54902,0.61651,0.2961,1.47443,1.20664,1.43341,0.0088714,0.0088714,0.0088714
173,939.094,1.46937,1.16087,1.49293,0.69492,0.56417,0.62443,0.30003,1.46102,1.17569,1.42342,0.0088648,0.0088648,0.0088648
174,944.469,1.47857,1.15947,1.47822,0.65864,0.55925,0.60566,0.29101,1.4823,1.20654,1.43995,0.0088582,0.0088582,0.0088582
175,949.649,1.43816,1.11521,1.4527,0.64476,0.55002,0.60288,0.28789,1.49198,1.17562,1.43836,0.0088516,0.0088516,0.0088516
176,954.805,1.4666,1.14855,1.4791,0.67561,0.53506,0.59457,0.28848,1.48822,1.18083,1.447,0.008845,0.008845,0.008845
177,960.092,1.4615,1.15614,1.49996,0.67965,0.55611,0.62778,0.30494,1.45934,1.1641,1.42872,0.0088384,0.0088384,0.0088384
178,965.522,1.45091,1.13332,1.47048,0.65185,0.54132,0.58433,0.28322,1.49772,1.20056,1.44801,0.0088318,0.0088318,0.0088318
179,970.747,1.47074,1.12788,1.47234,0.68138,0.54793,0.61738,0.29671,1.47074,1.16852,1.43545,0.0088252,0.0088252,0.0088252
180,976.03,1.49511,1.17101,1.4939,0.68514,0.55604,0.62715,0.30143,1.46761,1.17748,1.4301,0.0088186,0.0088186,0.0088186
181,981.339,1.47078,1.15145,1.47135,0.68085,0.53908,0.60522,0.28872,1.48691,1.19708,1.43853,0.008812,0.008812,0.008812
182,986.518,1.47841,1.1572,1.48167,0.69213,0.54943,0.61387,0.29296,1.48225,1.19438,1.43186,0.0088054,0.0088054,0.0088054
183,991.736,1.47775,1.14821,1.48684,0.70269,0.54158,0.62389,0.30569,1.45362,1.16909,1.41993,0.0087988,0.0087988,0.0087988
184,997.107,1.45659,1.15464,1.48539,0.67391,0.52481,0.58825,0.28348,1.49317,1.18745,1.45123,0.0087922,0.0087922,0.0087922
