epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,829.087,1.30646,0.88307,1.19251,0.76275,0.64037,0.71323,0.37727,1.54776,1.02162,1.36423,0.0094258,0.0094258,0.0094258
89,838.271,1.30418,0.89657,1.20244,0.7822,0.62993,0.71284,0.38004,1.54206,1.03062,1.36888,0.0094192,0.0094192,0.0094192
90,847.477,1.30637,0.88882,1.19444,0.76307,0.64169,0.70415,0.36032,1.5919,1.04111,1.39317,0.0094126,0.0094126,0.0094126
91,856.674,1.31879,0.89608,1.19859,0.78728,0.6324,0.70699,0.37668,1.54985,1.04369,1.36382,0.009406,0.009406,0.009406
92,865.899,1.29601,0.87471,1.18576,0.77823,0.62725,0.71126,0.37284,1.57158,1.0253,1.36723,0.0093994,0.0093994,0.0093994
93,875.127,1.29747,0.8865,1.19636,0.78831,0.63311,0.71258,0.38272,1.51601,1.01093,1.34858,0.0093928,0.0093928,0.0093928
94,884.42,1.33099,0.88869,1.19435,0.78579,0.64269,0.72026,0.38447,1.53298,1.01819,1.35788,0.0093862,0.0093862,0.0093862
95,893.624,1.29291,0.8785,1.18558,0.78098,0.62654,0.71547,0.37633,1.55897,1.02464,1.35915,0.0093796,0.0093796,0.0093796
96,902.852,1.31113,0.88648,1.19416,0.78365,0.63532,0.72179,0.38655,1.52666,1.00935,1.3554,0.009373,0.009373,0.009373
97,912.061,1.29215,0.8708,1.1779,0.78445,0.62613,0.71103,0.37679,1.53104,1.02778,1.35495,0.0093664,0.0093664,0.0093664
98,921.293,1.28455,0.87357,1.18246,0.79137,0.62914,0.71484,0.38374,1.52959,1.00489,1.35367,0.0093598,0.0093598,0.0093598
99,930.622,1.29186,0.87673,1.18211,0.77911,0.64269,0.71995,0.3838,1.52748,1.02232,1.34277,0.0093532,0.0093532,0.0093532
100,939.867,1.27943,0.87436,1.18536,0.79132,0.62527,0.71198,0.37225,1.56122,1.02263,1.36705,0.0093466,0.0093466,0.0093466
101,949.107,1.27693,0.86376,1.18238,0.78094,0.64162,0.72018,0.38389,1.52818,1.00723,1.34327,0.00934,0.00934,0.00934
102,958.267,1.29788,0.86882,1.18273,0.781,0.65126,0.72924,0.39876,1.49433,0.9889,1.33201,0.0093334,0.0093334,0.0093334
103,967.488,1.26622,0.85902,1.17569,0.78792,0.64861,0.72603,0.39553,1.48905,1.00363,1.33495,0.0093268,0.0093268,0.0093268
104,976.745,1.28528,0.87251,1.18089,0.79143,0.63988,0.72251,0.38028,1.53499,1.01443,1.35097,0.0093202,0.0093202,0.0093202
105,985.959,1.29613,0.87249,1.18163,0.78188,0.63696,0.72328,0.38776,1.51702,0.99692,1.33222,0.0093136,0.0093136,0.0093136
106,995.156,1.28087,0.87282,1.1846,0.78196,0.65115,0.72938,0.39389,1.50375,0.9853,1.33244,0.009307,0.009307,0.009307
107,1004.37,1.26279,0.84933,1.16495,0.7709,0.63947,0.72087,0.38712,1.51622,0.99889,1.33468,0.0093004,0.0093004,0.0093004
108,1013.57,1.27458,0.85246,1.17219,0.79781,0.63964,0.73021,0.39537,1.51608,0.98758,1.34095,0.0092938,0.0092938,0.0092938
109,1022.89,1.27347,0.85807,1.16881,0.79183,0.65538,0.73374,0.39675,1.4883,0.98305,1.32422,0.0092872,0.0092872,0.0092872
110,1032.09,1.27357,0.86211,1.175,0.77727,0.64638,0.72367,0.38931,1.52314,1.01109,1.33683,0.0092806,0.0092806,0.0092806
111,1041.31,1.24742,0.84131,1.15705,0.78401,0.64676,0.72539,0.39461,1.49355,0.99303,1.32505,0.009274,0.009274,0.009274
112,1050.52,1.26999,0.84979,1.16841,0.7853,0.64912,0.72321,0.38647,1.5273,1.00029,1.34463,0.0092674,0.0092674,0.0092674
113,1059.76,1.26273,0.85274,1.17265,0.78069,0.6422,0.72458,0.39229,1.5082,0.98394,1.33035,0.0092608,0.0092608,0.0092608
114,1069.01,1.26516,0.85285,1.1686,0.7971,0.63059,0.72161,0.38885,1.51029,0.98886,1.33302,0.0092542,0.0092542,0.0092542
115,1078.28,1.25369,0.84558,1.16793,0.78554,0.65415,0.72776,0.3974,1.49029,0.98574,1.32058,0.0092476,0.0092476,0.0092476
116,1087.47,1.27202,0.85875,1.17779,0.78666,0.6433,0.72426,0.3822,1.54306,0.99435,1.34493,0.009241,0.009241,0.009241
117,1096.7,1.2525,0.84364,1.16386,0.78608,0.65256,0.73121,0.40022,1.48527,0.9813,1.32062,0.0092344,0.0092344,0.0092344
