epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1040.61,1.26381,0.88649,1.34288,0.82717,0.68487,0.77493,0.43216,1.49461,1.07462,1.51696,0.009571,0.009571,0.009571
67,1055.63,1.29479,0.89296,1.33327,0.82204,0.67709,0.77215,0.42994,1.50899,1.07663,1.5418,0.0095644,0.0095644,0.0095644
68,1071.89,1.24785,0.87732,1.32277,0.8177,0.67017,0.76368,0.43465,1.4869,1.08753,1.52891,0.0095578,0.0095578,0.0095578
69,1087.53,1.24719,0.86606,1.33082,0.81778,0.69835,0.77714,0.43462,1.50207,1.06586,1.52056,0.0095512,0.0095512,0.0095512
70,1103.73,1.25474,0.86727,1.32142,0.83255,0.67775,0.77303,0.4353,1.50681,1.07192,1.52864,0.0095446,0.0095446,0.0095446
71,1119.38,1.26434,0.88114,1.32977,0.81661,0.69318,0.78394,0.44048,1.48259,1.03622,1.51039,0.009538,0.009538,0.009538
72,1134.57,1.24044,0.86687,1.32148,0.82995,0.66886,0.76152,0.42288,1.52583,1.07665,1.53264,0.0095314,0.0095314,0.0095314
73,1150.51,1.23814,0.86481,1.32019,0.8253,0.67687,0.77431,0.43687,1.48274,1.07753,1.50323,0.0095248,0.0095248,0.0095248
74,1166.98,1.22032,0.84091,1.29645,0.80356,0.68987,0.76893,0.4177,1.52597,1.05429,1.52694,0.0095182,0.0095182,0.0095182
75,1182.91,1.24374,0.85081,1.31028,0.84188,0.68578,0.78309,0.44328,1.48615,1.05423,1.5109,0.0095116,0.0095116,0.0095116
76,1198.79,1.22193,0.85389,1.33062,0.83399,0.66922,0.77075,0.43546,1.49703,1.06006,1.51798,0.009505,0.009505,0.009505
77,1212.83,1.24756,0.85437,1.31527,0.8222,0.6934,0.77953,0.44662,1.46735,1.06493,1.514,0.0094984,0.0094984,0.0094984
78,1229.34,1.23408,0.85583,1.30621,0.83535,0.68983,0.78633,0.44509,1.47367,1.01268,1.48844,0.0094918,0.0094918,0.0094918
79,1245.16,1.2134,0.84063,1.29513,0.82441,0.70055,0.7852,0.43972,1.49442,1.04904,1.52696,0.0094852,0.0094852,0.0094852
80,1260.26,1.22844,0.85277,1.31232,0.802,0.69016,0.77168,0.43234,1.48423,1.09261,1.50212,0.0094786,0.0094786,0.0094786
81,1275.87,1.24087,0.84164,1.30341,0.83108,0.6717,0.77447,0.44584,1.4678,1.0664,1.49735,0.009472,0.009472,0.009472
82,1290.72,1.22464,0.82876,1.29179,0.8475,0.69158,0.7927,0.45082,1.45696,1.01785,1.48849,0.0094654,0.0094654,0.0094654
83,1306.1,1.21125,0.8354,1.303,0.82155,0.69764,0.78798,0.45253,1.45795,1.04379,1.48613,0.0094588,0.0094588,0.0094588
84,1322.93,1.20064,0.84395,1.30587,0.83711,0.69065,0.79101,0.45106,1.44379,1.01875,1.47185,0.0094522,0.0094522,0.0094522
85,1338.43,1.20854,0.82227,1.29662,0.83842,0.68727,0.78286,0.43955,1.49373,1.01634,1.49369,0.0094456,0.0094456,0.0094456
86,1353.08,1.19369,0.80355,1.27345,0.84437,0.69633,0.79527,0.4675,1.41429,1.02204,1.46318,0.009439,0.009439,0.009439
87,1368.92,1.20086,0.82448,1.28461,0.83369,0.67795,0.78299,0.44949,1.4497,1.02373,1.47766,0.0094324,0.0094324,0.0094324
88,1385.54,1.19616,0.81971,1.26695,0.83828,0.7015,0.79473,0.46354,1.43251,1.00957,1.48286,0.0094258,0.0094258,0.0094258
89,1401.83,1.23103,0.8426,1.302,0.84129,0.69346,0.78596,0.43833,1.48913,1.00531,1.4975,0.0094192,0.0094192,0.0094192
90,1417.38,1.22707,0.8262,1.28761,0.83855,0.70842,0.79656,0.44246,1.49132,1.00163,1.4848,0.0094126,0.0094126,0.0094126
91,1432.76,1.19745,0.82099,1.27463,0.83019,0.69548,0.79476,0.45815,1.45456,1.02403,1.46885,0.009406,0.009406,0.009406
92,1448.93,1.20866,0.83404,1.27956,0.83535,0.6993,0.79487,0.45938,1.43527,1.00206,1.47093,0.0093994,0.0093994,0.0093994
93,1465.55,1.17249,0.79806,1.27115,0.84525,0.69827,0.79505,0.46024,1.43437,1.0118,1.46468,0.0093928,0.0093928,0.0093928
94,1480.05,1.19599,0.82377,1.27088,0.83426,0.69966,0.79515,0.46641,1.43475,0.98384,1.45494,0.0093862,0.0093862,0.0093862
95,1495.93,1.18195,0.81109,1.27117,0.8452,0.68521,0.78965,0.4606,1.42326,1.00762,1.46543,0.0093796,0.0093796,0.0093796
96,1511.68,1.19598,0.80391,1.26252,0.84265,0.69828,0.78873,0.46311,1.4071,0.99665,1.45608,0.009373,0.009373,0.009373
97,1527.69,1.17331,0.80102,1.26174,0.83298,0.69331,0.78619,0.4565,1.44332,1.01,1.46758,0.0093664,0.0093664,0.0093664
98,1543.39,1.17369,0.80335,1.27983,0.84,0.69073,0.78997,0.45408,1.46153,1.00381,1.47265,0.0093598,0.0093598,0.0093598
99,1557.52,1.17526,0.80909,1.2819,0.8523,0.71378,0.80782,0.46272,1.44125,0.96475,1.46505,0.0093532,0.0093532,0.0093532
100,1573.64,1.22773,0.84062,1.29412,0.84544,0.70752,0.80181,0.45358,1.47182,0.98358,1.46474,0.0093466,0.0093466,0.0093466
101,1589.58,1.18636,0.8137,1.27991,0.85461,0.69587,0.79818,0.4638,1.43179,0.9693,1.45534,0.00934,0.00934,0.00934
102,1605.33,1.19388,0.8114,1.27803,0.8408,0.70382,0.79963,0.46797,1.40301,0.97362,1.44643,0.0093334,0.0093334,0.0093334
103,1620.17,1.17305,0.79171,1.25711,0.83665,0.71775,0.8068,0.4666,1.42594,0.97299,1.43418,0.0093268,0.0093268,0.0093268
104,1634.7,1.18972,0.7936,1.26299,0.84696,0.69901,0.80249,0.47129,1.40484,0.96435,1.43574,0.0093202,0.0093202,0.0093202
105,1650.24,1.19528,0.80795,1.26117,0.83895,0.72027,0.80372,0.46104,1.4517,0.9581,1.45738,0.0093136,0.0093136,0.0093136
106,1667.33,1.16987,0.7821,1.25462,0.83621,0.69316,0.79261,0.45508,1.44398,0.99897,1.46026,0.009307,0.009307,0.009307
107,1683.32,1.16934,0.78505,1.25536,0.85479,0.69733,0.79962,0.46792,1.41176,0.97292,1.43096,0.0093004,0.0093004,0.0093004
108,1698.94,1.17581,0.7854,1.24389,0.85052,0.71492,0.80699,0.47136,1.39485,0.9576,1.41724,0.0092938,0.0092938,0.0092938
109,1713.87,1.18854,0.80822,1.27541,0.84135,0.72277,0.8056,0.46893,1.41276,0.97729,1.43755,0.0092872,0.0092872,0.0092872
